,precision,recall,f1-score,support
0,0.4305555555555556,0.5166666666666667,0.4696969696969697,60.0
1,0.7308673469387755,0.7958333333333333,0.7619680851063829,720.0
2,0.6523255813953488,0.748,0.6968944099378882,750.0
3,0.6574225122349103,0.8955555555555555,0.7582314205079962,450.0
4,0.9371816638370118,0.8363636363636363,0.8839071257005604,660.0
5,0.749003984063745,0.5968253968253968,0.6643109540636043,630.0
6,0.9382716049382716,0.5066666666666667,0.6580086580086582,150.0
7,0.8127962085308057,0.7622222222222222,0.786697247706422,450.0
8,0.7557840616966581,0.6533333333333333,0.700834326579261,450.0
9,0.9155251141552512,0.8354166666666667,0.8736383442265795,480.0
10,0.9683734939759037,0.9742424242424242,0.9712990936555891,660.0
11,0.6830065359477124,0.9952380952380953,0.810077519379845,420.0
12,0.9954614220877458,0.9536231884057971,0.9740932642487046,690.0
13,0.9862068965517241,0.9930555555555556,0.9896193771626298,720.0
14,0.996309963099631,1.0,0.9981515711645101,270.0
15,0.9333333333333333,1.0,0.9655172413793104,210.0
16,0.9281045751633987,0.9466666666666667,0.9372937293729374,150.0
17,1.0,0.8277777777777777,0.9057750759878419,360.0
18,0.8725490196078431,0.6846153846153846,0.7672413793103448,390.0
19,0.725,0.48333333333333334,0.58,60.0
20,0.68,0.9444444444444444,0.7906976744186047,90.0
21,0.765625,0.5444444444444444,0.6363636363636365,90.0
22,0.9764705882352941,0.6916666666666667,0.8097560975609757,120.0
23,0.6055045871559633,0.44,0.5096525096525096,150.0
24,0.5789473684210527,0.6111111111111112,0.5945945945945946,90.0
25,0.7174311926605504,0.8145833333333333,0.7629268292682926,480.0
26,0.7980295566502463,0.9,0.8459530026109661,180.0
27,0.6785714285714286,0.31666666666666665,0.4318181818181818,60.0
28,0.539568345323741,0.5,0.5190311418685121,150.0
29,0.47468354430379744,0.8333333333333334,0.6048387096774194,90.0
30,0.5543478260869565,0.34,0.4214876033057851,150.0
31,0.9734513274336283,0.8148148148148148,0.8870967741935484,270.0
32,0.9642857142857143,0.9,0.9310344827586207,60.0
33,0.8931623931623932,0.9952380952380953,0.9414414414414416,210.0
34,0.9133858267716536,0.9666666666666667,0.9392712550607287,120.0
35,0.9443037974683545,0.9564102564102565,0.9503184713375796,390.0
36,0.8333333333333334,0.9583333333333334,0.8914728682170543,120.0
37,0.9090909090909091,0.6666666666666666,0.7692307692307692,60.0
38,0.9555236728837877,0.9652173913043478,0.9603460706560922,690.0
39,0.8356164383561644,0.6777777777777778,0.7484662576687118,90.0
40,0.971830985915493,0.7666666666666667,0.8571428571428573,90.0
41,0.6444444444444445,0.9666666666666667,0.7733333333333334,60.0
42,0.5343511450381679,0.7777777777777778,0.6334841628959276,90.0
accuracy,0.8251781472684085,0.8251781472684085,0.8251781472684085,0.8251781472684085
macro avg,0.8002334488071327,0.7756726050416646,0.7758840585644693,12630.0
weighted avg,0.8360824198297971,0.8251781472684085,0.8237905154306284,12630.0
